Item No,Product Name,Description,Quantity,Unit,Unit Price,Amount
1,Soy Wax in Flakes,"Ingredients: 100% hydrogenated vegetable oil, MP 48-52°C",500,KG,2.6,1300.0
2,58/60 Fully Refined Paraffin Wax,"White Granules, MP 58-60°C, Oil Content ≤0.5%",1500,KG,1.72,2580.0
3,Wax Melter 1,"Color: Black, Vol: 8L, 1100W, EURO Standard",4,PIECE,55.32,221.28
4,Wax Melter 2,"Color: Black, Vol: 6L, 1100W, EURO Standard",2,PIECE,48.23,96.46
5,Electronic thermometer,"Range: -50°C to 300°C, Probe Length: 15cm",3,PIECE,1.15,3.45
6,White Cotton Wicks,"Size: 18ply * 6cmL",5000,PIECE,0.0058,29.0
7,White Cotton Wicks,"Size: 18ply * 12cmL",10000,PIECE,0.0104,104.0
8,White Cotton Wicks,"Size: 24ply * 17cmL",10000,PIECE,0.0124,124.0
9,White Cotton Wicks,"Size: 24ply * 20cmL",5000,PIECE,0.0165,82.5
10,Metal Candle Wick Holder,"Material: Stainless steel, Size: 10cmL * 2.5cmW",1000,PIECE,0.112,112.0
11,Candle Wick Sticker,"Double-sided, Dia 20mm, Color: White",1500,PIECE,0.071,106.5
12,Wax Melting Cup,"Material: 304 Stainless steel, 550ml",5,PIECE,3.5,17.5
13,Heat Gun,"Color: Black/White, 230V, 300W",5,PIECE,6.0,30.0
14,Candle Dye Color Liquid,"32 different colors, 10ml/bottle",160,BOTTLE,0.84,134.4
15,Fragrance Oil,"Scents: Ocean Gardenia",10,KG,27.89,278.9
16,Fragrance Oil,"Scents: French Vanilla",10,KG,19.2,192.0
17,Fragrance Oil,"Scents: Lavender",10,KG,20.11,201.1
18,Fragrance Oil,"Scents: Rosemary",10,KG,28.11,281.1
19,Fragrance Oil,"Scents: Amber Sandalwood",10,KG,25.6,256.0
20,Fragrance Oil,"Scents: Citronella Oil",10,KG,22.86,228.6
21,Fragrance Oil,"Scents: Jasmine Tea",10,KG,25.6,256.0
22,Fragrance Oil,"Scents: Oud",5,KG,39.72,198.6
